# i i i
0 16 17
0 17 1
1 17 18
1 18 2
2 18 19
2 19 3
3 19 20
3 20 4
4 20 21
4 21 5
5 21 22
5 22 6
6 22 23
6 23 7
7 23 24
7 24 8
8 24 25
8 25 9
9 25 26
9 26 10
10 26 27
10 27 11
11 27 28
11 28 12
12 28 29
12 29 13
13 29 30
13 30 14
14 30 31
14 31 15
15 31 16
15 16 0
16 32 33
16 33 17
17 33 34
17 34 18
18 34 35
18 35 19
19 35 36
19 36 20
20 36 37
20 37 21
21 37 38
21 38 22
22 38 39
22 39 23
23 39 40
23 40 24
24 40 41
24 41 25
25 41 42
25 42 26
26 42 43
26 43 27
27 43 44
27 44 28
28 44 45
28 45 29
29 45 46
29 46 30
30 46 47
30 47 31
31 47 32
31 32 16
32 48 49
32 49 33
33 49 50
33 50 34
34 50 51
34 51 35
35 51 52
35 52 36
36 52 53
36 53 37
37 53 54
37 54 38
38 54 55
38 55 39
39 55 56
39 56 40
40 56 57
40 57 41
41 57 58
41 58 42
42 58 59
42 59 43
43 59 60
43 60 44
44 60 61
44 61 45
45 61 62
45 62 46
46 62 63
46 63 47
47 63 48
47 48 32
48 64 65
48 65 49
49 65 66
49 66 50
50 66 67
50 67 51
51 67 68
51 68 52
52 68 69
52 69 53
53 69 70
53 70 54
54 70 71
54 71 55
55 71 72
55 72 56
56 72 73
56 73 57
57 73 74
57 74 58
58 74 75
58 75 59
59 75 76
59 76 60
60 76 77
60 77 61
61 77 78
61 78 62
62 78 79
62 79 63
63 79 64
63 64 48
80 1 0
80 2 1
80 3 2
80 4 3
80 5 4
80 6 5
80 7 6
80 8 7
80 9 8
80 10 9
80 11 10
80 12 11
80 13 12
80 14 13
80 15 14
80 0 15
81 64 65
81 65 66
81 66 67
81 67 68
81 68 69
81 69 70
81 70 71
81 71 72
81 72 73
81 73 74
81 74 75
81 75 76
81 76 77
81 77 78
81 78 79
81 79 64
