# i  X         Y         Z
  0  0.500000  0.000000 -1.000000
  1  0.461940  0.191342 -1.000000
  2  0.353553  0.353553 -1.000000
  3  0.191342  0.461940 -1.000000
  4  0.000000  0.500000 -1.000000
  5 -0.191342  0.461940 -1.000000
  6 -0.353553  0.353553 -1.000000
  7 -0.461940  0.191342 -1.000000
  8 -0.500000  0.000000 -1.000000
  9 -0.461940 -0.191342 -1.000000
 10 -0.353553 -0.353553 -1.000000
 11 -0.191342 -0.461940 -1.000000
 12  0.000000 -0.500000 -1.000000
 13  0.191342 -0.461940 -1.000000
 14  0.353553 -0.353553 -1.000000
 15  0.461940 -0.191342 -1.000000
 16  0.500000  0.000000 -0.500000
 17  0.461940  0.191342 -0.500000
 18  0.353553  0.353553 -0.500000
 19  0.191342  0.461940 -0.500000
 20  0.000000  0.500000 -0.500000
 21 -0.191342  0.461940 -0.500000
 22 -0.353553  0.353553 -0.500000
 23 -0.461940  0.191342 -0.500000
 24 -0.500000  0.000000 -0.500000
 25 -0.461940 -0.191342 -0.500000
 26 -0.353553 -0.353553 -0.500000
 27 -0.191342 -0.461940 -0.500000
 28  0.000000 -0.500000 -0.500000
 29  0.191342 -0.461940 -0.500000
 30  0.353553 -0.353553 -0.500000
 31  0.461940 -0.191342 -0.500000
 32  0.500000  0.000000  0.000000
 33  0.461940  0.191342  0.000000
 34  0.353553  0.353553  0.000000
 35  0.191342  0.461940  0.000000
 36  0.000000  0.500000  0.000000
 37 -0.191342  0.461940  0.000000
 38 -0.353553  0.353553  0.000000
 39 -0.461940  0.191342  0.000000
 40 -0.500000  0.000000  0.000000
 41 -0.461940 -0.191342  0.000000
 42 -0.353553 -0.353553  0.000000
 43 -0.191342 -0.461940  0.000000
 44  0.000000 -0.500000  0.000000
 45  0.191342 -0.461940  0.000000
 46  0.353553 -0.353553  0.000000
 47  0.461940 -0.191342  0.000000
 48  0.500000  0.000000  0.500000
 49  0.461940  0.191342  0.500000
 50  0.353553  0.353553  0.500000
 51  0.191342  0.461940  0.500000
 52  0.000000  0.500000  0.500000
 53 -0.191342  0.461940  0.500000
 54 -0.353553  0.353553  0.500000
 55 -0.461940  0.191342  0.500000
 56 -0.500000  0.000000  0.500000
 57 -0.461940 -0.191342  0.500000
 58 -0.353553 -0.353553  0.500000
 59 -0.191342 -0.461940  0.500000
 60  0.000000 -0.500000  0.500000
 61  0.191342 -0.461940  0.500000
 62  0.353553 -0.353553  0.500000
 63  0.461940 -0.191342  0.500000
 64  0.500000  0.000000  1.000000
 65  0.461940  0.191342  1.000000
 66  0.353553  0.353553  1.000000
 67  0.191342  0.461940  1.000000
 68  0.000000  0.500000  1.000000
 69 -0.191342  0.461940  1.000000
 70 -0.353553  0.353553  1.000000
 71 -0.461940  0.191342  1.000000
 72 -0.500000  0.000000  1.000000
 73 -0.461940 -0.191342  1.000000
 74 -0.353553 -0.353553  1.000000
 75 -0.191342 -0.461940  1.000000
 76  0.000000 -0.500000  1.000000
 77  0.191342 -0.461940  1.000000
 78  0.353553 -0.353553  1.000000
 79  0.461940 -0.191342  1.000000
 80  0.000000  0.000000 -1.000000
 81  0.000000  0.000000  1.000000
