# i  X         Y         Z
  0 -10.000000  0.300000  0.000000
  1 -10.000000  0.092705  0.285317
  2 -10.000000 -0.242705  0.176336
  3 -10.000000 -0.242705 -0.176336
  4 -10.000000  0.092705 -0.285317
  5  -5.000000  0.300000  0.000000
  6  -5.000000  0.092705  0.285317
  7  -5.000000 -0.242705  0.176336
  8  -5.000000 -0.242705 -0.176336
  9  -5.000000  0.092705 -0.285317
 10   0.000000  0.300000  0.000000
 11   0.000000  0.092705  0.285317
 12   0.000000 -0.242705  0.176336
 13   0.000000 -0.242705 -0.176336
 14   0.000000  0.092705 -0.285317
 15   5.000000  0.300000  0.000000
 16   5.000000  0.092705  0.285317
 17   5.000000 -0.242705  0.176336
 18   5.000000 -0.242705 -0.176336
 19   5.000000  0.092705 -0.285317
 20  10.000000  0.300000  0.000000
 21  10.000000  0.092705  0.285317
 22  10.000000 -0.242705  0.176336
 23  10.000000 -0.242705 -0.176336
 24  10.000000  0.092705 -0.285317
 25 -10.000000  0.000000  0.000000
 26  10.000000  0.000000  0.000000
