# i  X         Y         Z
  0   0.300000 -10.000000  0.000000
  1   0.092705 -10.000000  0.285317
  2  -0.242705 -10.000000  0.176336
  3  -0.242705 -10.000000 -0.176336
  4   0.092705 -10.000000 -0.285317
  5   0.300000  -5.000000  0.000000
  6   0.092705  -5.000000  0.285317
  7  -0.242705  -5.000000  0.176336
  8  -0.242705  -5.000000 -0.176336
  9   0.092705  -5.000000 -0.285317
 10   0.300000   0.000000  0.000000
 11   0.092705   0.000000  0.285317
 12  -0.242705   0.000000  0.176336
 13  -0.242705   0.000000 -0.176336
 14   0.092705   0.000000 -0.285317
 15   0.300000   5.000000  0.000000
 16   0.092705   5.000000  0.285317
 17  -0.242705   5.000000  0.176336
 18  -0.242705   5.000000 -0.176336
 19   0.092705   5.000000 -0.285317
 20   0.300000  10.000000  0.000000
 21   0.092705  10.000000  0.285317
 22  -0.242705  10.000000  0.176336
 23  -0.242705  10.000000 -0.176336
 24   0.092705  10.000000 -0.285317
 25   0.000000 -10.000000  0.000000
 26   0.000000  10.000000  0.000000
