# i  X         Y         Z
  0   0.300000  0.000000 -10.000000
  1   0.092705  0.285317 -10.000000
  2  -0.242705  0.176336 -10.000000
  3  -0.242705 -0.176336 -10.000000
  4   0.092705 -0.285317 -10.000000
  5   0.300000  0.000000  -5.000000
  6   0.092705  0.285317  -5.000000
  7  -0.242705  0.176336  -5.000000
  8  -0.242705 -0.176336  -5.000000
  9   0.092705 -0.285317  -5.000000
 10   0.300000  0.000000   0.000000
 11   0.092705  0.285317   0.000000
 12  -0.242705  0.176336   0.000000
 13  -0.242705 -0.176336   0.000000
 14   0.092705 -0.285317   0.000000
 15   0.300000  0.000000   5.000000
 16   0.092705  0.285317   5.000000
 17  -0.242705  0.176336   5.000000
 18  -0.242705 -0.176336   5.000000
 19   0.092705 -0.285317   5.000000
 20   0.300000  0.000000  10.000000
 21   0.092705  0.285317  10.000000
 22  -0.242705  0.176336  10.000000
 23  -0.242705 -0.176336  10.000000
 24   0.092705 -0.285317  10.000000
 25   0.000000  0.000000 -10.000000
 26   0.000000  0.000000  10.000000
