# i  X         Y         Z
  0  0.000000  0.000000  0.500000
  1  0.049009  0.000000  0.497592
  2  0.048067  0.009561  0.497592
  3  0.045278  0.018755  0.497592
  4  0.040749  0.027228  0.497592
  5  0.034654  0.034654  0.497592
  6  0.027228  0.040749  0.497592
  7  0.018755  0.045278  0.497592
  8  0.009561  0.048067  0.497592
  9  0.000000  0.049009  0.497592
 10 -0.009561  0.048067  0.497592
 11 -0.018755  0.045278  0.497592
 12 -0.027228  0.040749  0.497592
 13 -0.034654  0.034654  0.497592
 14 -0.040749  0.027228  0.497592
 15 -0.045278  0.018755  0.497592
 16 -0.048067  0.009561  0.497592
 17 -0.049009  0.000000  0.497592
 18 -0.048067 -0.009561  0.497592
 19 -0.045278 -0.018755  0.497592
 20 -0.040749 -0.027228  0.497592
 21 -0.034654 -0.034654  0.497592
 22 -0.027228 -0.040749  0.497592
 23 -0.018755 -0.045278  0.497592
 24 -0.009561 -0.048067  0.497592
 25  0.000000 -0.049009  0.497592
 26  0.009561 -0.048067  0.497592
 27  0.018755 -0.045278  0.497592
 28  0.027228 -0.040749  0.497592
 29  0.034654 -0.034654  0.497592
 30  0.040749 -0.027228  0.497592
 31  0.045278 -0.018755  0.497592
 32  0.048067 -0.009561  0.497592
 33  0.097545  0.000000  0.490393
 34  0.095671  0.019030  0.490393
 35  0.090120  0.037329  0.490393
 36  0.081106  0.054193  0.490393
 37  0.068975  0.068975  0.490393
 38  0.054193  0.081106  0.490393
 39  0.037329  0.090120  0.490393
 40  0.019030  0.095671  0.490393
 41  0.000000  0.097545  0.490393
 42 -0.019030  0.095671  0.490393
 43 -0.037329  0.090120  0.490393
 44 -0.054193  0.081106  0.490393
 45 -0.068975  0.068975  0.490393
 46 -0.081106  0.054193  0.490393
 47 -0.090120  0.037329  0.490393
 48 -0.095671  0.019030  0.490393
 49 -0.097545  0.000000  0.490393
 50 -0.095671 -0.019030  0.490393
 51 -0.090120 -0.037329  0.490393
 52 -0.081106 -0.054193  0.490393
 53 -0.068975 -0.068975  0.490393
 54 -0.054193 -0.081106  0.490393
 55 -0.037329 -0.090120  0.490393
 56 -0.019030 -0.095671  0.490393
 57  0.000000 -0.097545  0.490393
 58  0.019030 -0.095671  0.490393
 59  0.037329 -0.090120  0.490393
 60  0.054193 -0.081106  0.490393
 61  0.068975 -0.068975  0.490393
 62  0.081106 -0.054193  0.490393
 63  0.090120 -0.037329  0.490393
 64  0.095671 -0.019030  0.490393
 65  0.145142  0.000000  0.478470
