# i  X         Y         Z
  0  0.000000  0.000000  1.500000
  1  0.292635  0.000000  1.471178
  2  0.270360  0.111987  1.471178
  3  0.206925  0.206925  1.471178
  4  0.111987  0.270360  1.471178
  5  0.000000  0.292635  1.471178
  6 -0.111987  0.270360  1.471178
  7 -0.206925  0.206925  1.471178
  8 -0.270360  0.111987  1.471178
  9 -0.292635  0.000000  1.471178
 10 -0.270360 -0.111987  1.471178
 11 -0.206925 -0.206925  1.471178
 12 -0.111987 -0.270360  1.471178
 13  0.000000 -0.292635  1.471178
 14  0.111987 -0.270360  1.471178
 15  0.206925 -0.206925  1.471178
 16  0.270360 -0.111987  1.471178
 17  0.574025  0.000000  1.385819
 18  0.530330  0.219670  1.385819
 19  0.405897  0.405897  1.385819
 20  0.219670  0.530330  1.385819
 21  0.000000  0.574025  1.385819
 22 -0.219670  0.530330  1.385819
 23 -0.405897  0.405897  1.385819
 24 -0.530330  0.219670  1.385819
 25 -0.574025  0.000000  1.385819
 26 -0.530330 -0.219670  1.385819
 27 -0.405897 -0.405897  1.385819
 28 -0.219670 -0.530330  1.385819
 29  0.000000 -0.574025  1.385819
 30  0.219670 -0.530330  1.385819
 31  0.405897 -0.405897  1.385819
 32  0.530330 -0.219670  1.385819
 33  0.833355  0.000000  1.247204
 34  0.769920  0.318911  1.247204
 35  0.589271  0.589271  1.247204
 36  0.318911  0.769920  1.247204
 37  0.000000  0.833355  1.247204
 38 -0.318911  0.769920  1.247204
 39 -0.589271  0.589271  1.247204
 40 -0.769920  0.318911  1.247204
 41 -0.833355  0.000000  1.247204
 42 -0.769920 -0.318911  1.247204
 43 -0.589271 -0.589271  1.247204
 44 -0.318911 -0.769920  1.247204
 45  0.000000 -0.833355  1.247204
 46  0.318911 -0.769920  1.247204
 47  0.589271 -0.589271  1.247204
 48  0.769920 -0.318911  1.247204
 49  1.060660  0.000000  1.060660
 50  0.979922  0.405897  1.060660
 51  0.750000  0.750000  1.060660
 52  0.405897  0.979922  1.060660
 53  0.000000  1.060660  1.060660
 54 -0.405897  0.979922  1.060660
 55 -0.750000  0.750000  1.060660
 56 -0.979922  0.405897  1.060660
 57 -1.060660  0.000000  1.060660
 58 -0.979922 -0.405897  1.060660
 59 -0.750000 -0.750000  1.060660
 60 -0.405897 -0.979922  1.060660
 61  0.000000 -1.060660  1.060660
 62  0.405897 -0.979922  1.060660
 63  0.750000 -0.750000  1.060660
 64  0.979922 -0.405897  1.060660
 65  1.247204  0.000000  0.833355
 66  1.152267  0.477284  0.833355
 67  0.881907  0.881907  0.833355
 68  0.477284  1.152267  0.833355
 69  0.000000  1.247204  0.833355
 70 -0.477284  1.152267  0.833355
 71 -0.881907  0.881907  0.833355
 72 -1.152267  0.477284  0.833355
 73 -1.247204  0.000000  0.833355
 74 -1.152267 -0.477284  0.833355
 75 -0.881907 -0.881907  0.833355
 76 -0.477284 -1.152267  0.833355
 77  0.000000 -1.247204  0.833355
 78  0.477284 -1.152267  0.833355
 79  0.881907 -0.881907  0.833355
 80  1.152267 -0.477284  0.833355
 81  1.385819  0.000000  0.574025
 82  1.280330  0.530330  0.574025
 83  0.979922  0.979922  0.574025
 84  0.530330  1.280330  0.574025
 85  0.000000  1.385819  0.574025
 86 -0.530330  1.280330  0.574025
 87 -0.979922  0.979922  0.574025
 88 -1.280330  0.530330  0.574025
 89 -1.385819  0.000000  0.574025
 90 -1.280330 -0.530330  0.574025
 91 -0.979922 -0.979922  0.574025
 92 -0.530330 -1.280330  0.574025
 93  0.000000 -1.385819  0.574025
 94  0.530330 -1.280330  0.574025
 95  0.979922 -0.979922  0.574025
 96  1.280330 -0.530330  0.574025
 97  1.471178  0.000000  0.292635
 98  1.359191  0.562995  0.292635
 99  1.040280  1.040280  0.292635
100  0.562995  1.359191  0.292635
101  0.000000  1.471178  0.292635
102 -0.562995  1.359191  0.292635
103 -1.040280  1.040280  0.292635
104 -1.359191  0.562995  0.292635
105 -1.471178  0.000000  0.292635
106 -1.359191 -0.562995  0.292635
107 -1.040280 -1.040280  0.292635
108 -0.562995 -1.359191  0.292635
109  0.000000 -1.471178  0.292635
110  0.562995 -1.359191  0.292635
111  1.040280 -1.040280  0.292635
112  1.359191 -0.562995  0.292635
113  1.500000  0.000000  0.000000
114  1.385819  0.574025  0.000000
115  1.060660  1.060660  0.000000
116  0.574025  1.385819  0.000000
117  0.000000  1.500000  0.000000
118 -0.574025  1.385819  0.000000
119 -1.060660  1.060660  0.000000
120 -1.385819  0.574025  0.000000
121 -1.500000  0.000000  0.000000
122 -1.385819 -0.574025  0.000000
123 -1.060660 -1.060660  0.000000
124 -0.574025 -1.385819  0.000000
125  0.000000 -1.500000  0.000000
126  0.574025 -1.385819  0.000000
127  1.060660 -1.060660  0.000000
128  1.385819 -0.574025  0.000000
129  1.471178  0.000000 -0.292635
130  1.359191  0.562995 -0.292635
131  1.040280  1.040280 -0.292635
132  0.562995  1.359191 -0.292635
133  0.000000  1.471178 -0.292635
134 -0.562995  1.359191 -0.292635
135 -1.040280  1.040280 -0.292635
136 -1.359191  0.562995 -0.292635
137 -1.471178  0.000000 -0.292635
138 -1.359191 -0.562995 -0.292635
139 -1.040280 -1.040280 -0.292635
140 -0.562995 -1.359191 -0.292635
141  0.000000 -1.471178 -0.292635
142  0.562995 -1.359191 -0.292635
143  1.040280 -1.040280 -0.292635
144  1.359191 -0.562995 -0.292635
145  1.385819  0.000000 -0.574025
146  1.280330  0.530330 -0.574025
147  0.979922  0.979922 -0.574025
148  0.530330  1.280330 -0.574025
149  0.000000  1.385819 -0.574025
150 -0.530330  1.280330 -0.574025
151 -0.979922  0.979922 -0.574025
152 -1.280330  0.530330 -0.574025
153 -1.385819  0.000000 -0.574025
154 -1.280330 -0.530330 -0.574025
155 -0.979922 -0.979922 -0.574025
156 -0.530330 -1.280330 -0.574025
157  0.000000 -1.385819 -0.574025
158  0.530330 -1.280330 -0.574025
159  0.979922 -0.979922 -0.574025
160  1.280330 -0.530330 -0.574025
161  1.247204  0.000000 -0.833355
162  1.152267  0.477284 -0.833355
163  0.881907  0.881907 -0.833355
164  0.477284  1.152267 -0.833355
165  0.000000  1.247204 -0.833355
166 -0.477284  1.152267 -0.833355
167 -0.881907  0.881907 -0.833355
168 -1.152267  0.477284 -0.833355
169 -1.247204  0.000000 -0.833355
170 -1.152267 -0.477284 -0.833355
171 -0.881907 -0.881907 -0.833355
172 -0.477284 -1.152267 -0.833355
173  0.000000 -1.247204 -0.833355
174  0.477284 -1.152267 -0.833355
175  0.881907 -0.881907 -0.833355
176  1.152267 -0.477284 -0.833355
177  1.060660  0.000000 -1.060660
178  0.979922  0.405897 -1.060660
179  0.750000  0.750000 -1.060660
180  0.405897  0.979922 -1.060660
