# i i i
0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 7
0 7 8
0 8 1
1 9 10
1 10 2
2 10 11
2 11 3
3 11 12
3 12 4
4 12 13
4 13 5
5 13 14
5 14 6
6 14 15
6 15 7
7 15 16
7 16 8
8 16 9
8 9 1
9 17 18
9 18 10
10 18 19
10 19 11
11 19 20
11 20 12
12 20 21
12 21 13
13 21 22
13 22 14
14 22 23
14 23 15
15 23 24
15 24 16
16 24 17
16 17 9
17 25 26
17 26 18
18 26 27
18 27 19
19 27 28
19 28 20
20 28 29
20 29 21
21 29 30
21 30 22
22 30 31
22 31 23
23 31 32
23 32 24
24 32 25
24 25 17
25 33 34
25 34 26
26 34 35
26 35 27
27 35 36
27 36 28
28 36 37
28 37 29
29 37 38
29 38 30
30 38 39
30 39 31
31 39 40
31 40 32
32 40 33
32 33 25
33 41 42
33 42 34
34 42 43
34 43 35
35 43 44
35 44 36
36 44 45
36 45 37
37 45 46
37 46 38
38 46 47
38 47 39
39 47 48
39 48 40
40 48 41
40 41 33
41 49 50
41 50 42
42 50 51
42 51 43
43 51 52
43 52 44
44 52 53
44 53 45
45 53 54
45 54 46
46 54 55
46 55 47
47 55 56
47 56 48
48 56 49
48 49 41
49 57 50
50 57 51
51 57 52
52 57 53
53 57 54
54 57 55
55 57 56
56 57 49
